date,produce,weight
2020-08-18,Collard greens,4
2020-08-18,Parsley,3
2020-08-18,Green beans,1.4
2020-08-18,Herbs,2
2020-08-25,Yellow squash,14.4
2020-08-25,Zucchini,27.3
2020-08-25,Kale,8
2020-08-25,Lettuce,4
2020-08-25,Cucumber,5
2020-08-25,Green beans,4.4
2020-08-25,Beets,3
2020-08-25,"Tomatoes, cherry",3.5
2020-08-25,Basil,0.2
2020-08-25,Collard greens,1.4
2020-08-25,Chard,7.4
2020-08-25,Parsley,0.5
2020-09-01,Zucchini,24
2020-09-01,Cucumber,10.5
2020-09-01,"Tomatoes, roma",5.5
2020-09-01,Kale,7.5
2020-09-01,Green beans,6.5
2020-09-01,Broccoli,1.5
2020-09-01,Chard,4.5
2020-09-01,Yellow squash,6.5
2020-09-01,Lettuce,1.5
2020-09-01,Basil,0.5
2020-09-01,Beets,0.25
2020-09-08,Kale,1.5
2020-09-08,Cucumber,12.7
2020-09-08,Collard greens,2.2
2020-09-08,Yellow squash,34.2
2020-09-08,Beets,0.2
2020-09-08,"Tomatoes, cherry",4.7
2020-09-08,Green beans,3.5
2020-09-08,Zucchini,2
2020-09-08,"Tomatoes, roma",4.2
2020-09-08,Parsley,0.8
2020-09-08,Chard,4.3
2020-09-15,"Tomatoes, roma",9.1
2020-09-15,"Tomatoes, cherry",3.7
2020-09-15,Green beans,1.5
2020-09-15,Cucumber,14
2020-09-15,Spinach,2.3
2020-09-15,Beets,4.8
2020-09-15,Kale,0.5
2020-09-15,Lettuce,1.7
2020-09-15,Zucchini,5.6
2020-09-15,Yellow squash,6.4
2020-09-22,Zucchini,10.5
2020-09-22,Yellow squash,11.5
2020-09-22,"Kale, red Russian",7.5
2020-09-22,Green beans,4
2020-09-22,Cucumber,11
2020-09-22,"Tomatoes, roma",11.5
2020-09-22,"Tomatoes, cherry",3.5
2020-09-22,Beets,3.5
2020-09-22,Collard greens,4
2020-09-26,Apples,18.5
2020-09-27,Peppers,1
2020-09-29,Zucchini,7
2020-09-29,Kale,2.5
2020-09-29,Spinach,2.4
2020-09-29,Beets,0.6
2020-09-29,Chard,1
2020-09-29,"Tomatoes, cherry",2
2020-09-29,Green beans,4
2020-09-29,Yellow squash,1
2020-09-29,"Tomatoes, roma",8
2020-09-29,Cucumber,5
2020-09-29,Basil,0.6
2020-09-29,"Tomatoes, green",7
2020-09-29,Pac choi,0.5
2020-10-03,Apples,19.5
2020-10-06,"Squash, delicata",3.5
2020-10-06,"Squash, butternut",5
2020-10-06,"Kale, red Russian",3.5
2020-10-06,Green beans,7.5
2020-10-06,Chard,2
2020-10-06,Cucumber,11.5
2020-10-06,Parsley,1.5
2020-10-06,Lettuce,2
2020-10-06,Pac choi,0.5
2020-10-06,"Tomatoes, cherry",6.9
2020-10-13,Yellow squash,1
2020-10-13,Cucumber,16.5
2020-10-13,Parsley,1.5
2020-10-13,Beets,4
2020-10-13,Green beans,2.2
2020-10-13,Chard,1.8
2020-10-13,Spinach,1.9
2020-10-13,Pac choi,0.6
